Finished,Every_day,each_day,all_days,most_days,many_days,some_days,several_days,a_few_days,few_days,no_days,Always,Usually,Mostly,Often,Frequently,Sometimes,Occasionally,Seldom,Rarely,Infrequently,Never
TRUE,100,100,100,92,70,55,14,7,3,,,,,,,,,,,,
TRUE,,,,,,,,,,,90,75,80,60,75,25,25,10,20,20,0
TRUE,,,,,,,,,,,72,10,65,40,20,38,30,2,60,30,5
TRUE,100,,100,70,100,20,18,,,100,,,,,,,,,,,
TRUE,,,,,,,,,,,100,80,80,50,65,40,30,5,15,30,
TRUE,100,100,100,85,70,40,20,5,5,0,,,,,,,,,,,
TRUE,100,100,100,80,60,30,10,20,20,0,,,,,,,,,,,
TRUE,,,,,,,,,,,97,64,74,48,47,23,13,12,10,16,1
TRUE,,,,,,,,,,,92,91,100,72,83,42,29,15,100,29,4
TRUE,100,100,100,70,82,30,4,5,6,,,,,,,,,,,,
TRUE,,,,,,,,,,,96,67,65,42,50,30,11,10,4,19,0
TRUE,100,100,100,81,88,13,37,13,20,,,,,,,,,,,,
TRUE,100,10,100,61,78,68,6,11,25,0,,,,,,,,,,,
TRUE,,,,,,,,,,,6,18,100,18,100,45,21,28,0,100,28
TRUE,100,100,100,54,51,33,42,8,37,,,,,,,,,,,,
TRUE,,,,,,,,,,,100,68,80,67,77,32,18,6,12,20,
TRUE,,,,,,,,,,,100,75,90,85,80,25,30,10,8,15,
TRUE,100,100,100,75,40,30,15,10,10,,,,,,,,,,,,
TRUE,100,100,100,70,70,30,40,20,20,,,,,,,,,,,,
TRUE,,,,,,,,,,,82,53,59,38,61,44,33,24,27,74,
TRUE,,,,,,,,,,,100,85,100,50,100,41,5,20,10,72,
TRUE,100,100,100,66,40,23,5,3,12,,,,,,,,,,,,
TRUE,100,100,100,60,61,20,16,6,9,,,,,,,,,,,,
TRUE,,,,,,,,,,,100,80,80,65,70,28,15,5,10,30,0
TRUE,100,100,100,80,35,20,10,5,5,,,,,,,,,,,,
TRUE,,,,,,,,,,,96,85,85,80,70,50,45,15,30,25,2
TRUE,,,,,,,,,,,100,77,80,42,80,34,20,8,18,24,
TRUE,95,100,100,70,35,40,10,6,20,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
FALSE,,,100,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,33,35,30,32,,,,,,,,,,,
FALSE,20,35,,,35,,,10,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,100,90,80,70,75,41,,40,,30,
FALSE,,,,,,,,,,,90,80,81,40,,30,,9,16,30,
FALSE,,100,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,75,75,,75,,25,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,
